Symbol,Sector
APA,Energy
HOME,Consumer Cyclical
NGD,Basic Materials
KOS,Energy
DAL,Industrials
INFY,Technology
CCL,Consumer Cyclical
BHGE,Energy
MFGP,Technology
PBR,Energy
DISCA,Consumer Cyclical
LPI,Energy
ABT,Healthcare
FITB,Financial Services
PTEN,Energy
USB,Financial Services
BA,Industrials
GGB,Basic Materials
JBLU,Industrials
QEP,Energy
EBAY,Consumer Cyclical
HBAN,Financial Services
DB,Financial Services
MRVL,Technology
ABX,Basic Materials
WBA,Healthcare
CDNA,Healthcare
ETP,Energy
RSX,
KNX,Industrials
KBH,Consumer Cyclical
DISCK,Consumer Cyclical
PGR,Financial Services
XLE,
MO,Consumer Defensive
MDT,Healthcare
RIG,Energy
BCS,Financial Services
CDEV,Energy
DNR,Energy
EOG,Energy
XLP,
HPE,Technology
TXN,Technology
OAS,Energy
OKE,Energy
CVS,Healthcare
SVXY,
HES,Energy
GDDY,Technology
BX,Financial Services
NLSN,Industrials
TS,Basic Materials
BOX,Technology
OXY,Energy
OCLR,Technology
CVE,Energy
SYF,Financial Services
IAU,
MTG,Financial Services
LUV,Industrials
FTI,Energy
AA,Basic Materials
ABEV,Consumer Defensive
VTI,
EQR,Real Estate
EWG,
ESRX,Healthcare
MDR,Energy
ETSY,Consumer Cyclical
ANDV,Energy
TAL,Consumer Defensive
UNH,Healthcare
ECA,Energy
GES,Consumer Cyclical
AMZN,Technology
NFLX,Communication Services
ENTG,Technology
CSX,Industrials
WYNN,Consumer Cyclical
FOX,Consumer Cyclical
CNC,Healthcare
ZION,Financial Services
CLDR,Technology
RES,Energy
CI,Healthcare
KRE,
WMB,Energy
SYNH,Healthcare
HBI,Consumer Cyclical
BBT,Financial Services
XL,Financial Services
PAYX,Industrials
CELG,Healthcare
D,Utilities
CHS,Consumer Cyclical
CFG,Financial Services
XLI,
SU,Energy
SLV,
MMM,Industrials
BIIB,Healthcare
JBL,Technology
ACN,Technology
NTR,Basic Materials
PAH,Basic Materials
BRFS,Consumer Defensive
SBUX,Consumer Cyclical
EWU,
PE,Energy
LVS,Consumer Cyclical
EGO,Basic Materials
GSK,Healthcare
TEVA,Healthcare
PAA,Energy
SQQQ,
VLO,Energy
CSRA,Technology
IMAX,Consumer Cyclical
FNB,Financial Services
ADSK,Technology
HD,Consumer Cyclical
BIDU,Technology
AR,Energy
ARNC,Industrials
VOYA,Financial Services
SPXU,
MLCO,Consumer Cyclical
SJNK,
CWB,
SM,Energy
NTRS,Financial Services
DHI,Consumer Cyclical
UAL,Industrials
HRB,Consumer Cyclical
BTU,Basic Materials
JBGS,Real Estate
IPG,Consumer Cyclical
DE,Industrials
KHC,Consumer Defensive
COG,Energy
IBM,Technology
WTW,Consumer Cyclical
NYT,Consumer Cyclical
DBJP,
AAL,Industrials
OLN,Basic Materials
JCI,Basic Materials
VICI,Real Estate
VST,Utilities
NWL,Consumer Defensive
EPD,Energy
KMB,Consumer Defensive
AEP,Utilities
IT,Technology
CAT,Industrials
AU,Basic Materials
MYL,Healthcare
XRAY,Healthcare
KKR,Financial Services
IEUR,
LQD,
CMC,Basic Materials
JCP,Consumer Cyclical
XBI,
SYMC,Technology
TMUS,Communication Services
EWW,
RMP,Energy
NRG,Utilities
CPB,Consumer Defensive
ATHM,Technology
WRB,Financial Services
MOMO,Technology
TGT,Consumer Defensive
TV,Consumer Cyclical
GLW,Technology
MAS,Basic Materials
DOV,Industrials
HRL,Consumer Defensive
S,Communication Services
TECK,Basic Materials
AES,Utilities
PPL,Utilities
IXUS,
SEE,Consumer Cyclical
NLY,Real Estate
FRC,Financial Services
EWT,
STX,Technology
ADBE,Technology
K,Consumer Defensive
RTN,Industrials
M,Consumer Cyclical
TSLA,Consumer Cyclical
CY,Technology
KBE,
TSM,Technology
STL,Financial Services
NYCB,Financial Services
TRQ,Basic Materials
NBL,Energy
FDC,Industrials
BAH,Industrials
BUFF,Consumer Defensive
ARI,Real Estate
MET,Financial Services
AFL,Financial Services
TPR,Consumer Cyclical
WPM,Basic Materials
LNT,Utilities
BTG,Basic Materials
UTX,Industrials
WLL,Energy
LKQ,Consumer Cyclical
PCG,Utilities
CRZO,Energy
CENX,Basic Materials
PGNX,Healthcare
CLR,Energy
FCAU,Consumer Cyclical
IMGN,Healthcare
HL,Basic Materials
LULU,Consumer Cyclical
UAA,Consumer Cyclical
CAG,Consumer Defensive
STLD,Basic Materials
PEP,Consumer Defensive
SO,Utilities
ETE,Energy
COST,Consumer Defensive
GKOS,Healthcare
CCI,Real Estate
ZTO,Industrials
VGK,
GS,Financial Services
IJR,
ZAYO,Technology
ADT,Industrials
ALTR,Technology
GGP,Real Estate
EMR,Industrials
CNP,Utilities
ALXN,Healthcare
COTY,Consumer Defensive
MA,Financial Services
AWI,Basic Materials
IYR,
ADP,Industrials
TZA,
MULE,Technology
BBVA,Financial Services
MNST,Consumer Defensive
FEZ,
AER,Industrials
GTN,Consumer Cyclical
EWY,
CDE,Basic Materials
NCR,Technology
AMT,Communication Services
PSTG,Technology
VRX,Healthcare
SJM,Consumer Defensive
ETN,Industrials
DUK,Utilities
CL,Consumer Defensive
IDRA,Healthcare
KAR,Consumer Cyclical
NEE,Utilities
PXD,Energy
WPX,Energy
ADM,Consumer Defensive
VTR,Real Estate
VMW,Technology
RIGL,Healthcare
DKS,Consumer Cyclical
FG,Financial Services
WTI,Energy
LRCX,Technology
NXPI,Technology
CE,Basic Materials
HUN,Basic Materials
CSTM,Basic Materials
VER,Real Estate
GPK,Consumer Cyclical
WELL,Real Estate
TJX,Consumer Cyclical
PLD,Real Estate
KSS,Consumer Cyclical
XEC,Energy
TLT,
DRI,Consumer Cyclical
OZRK,Financial Services
ENDP,Healthcare
ATI,Industrials
IAG,Basic Materials
VFC,Consumer Cyclical
BDN,Real Estate
HON,Industrials
YNDX,Technology
USG,Basic Materials
GOOGL,Technology
ICE,Financial Services
OMER,Healthcare
WY,Basic Materials
HEFA,
BLL,Consumer Cyclical
CGNX,Technology
AMGN,Healthcare
FSLR,Technology
IVZ,Financial Services
DG,Consumer Defensive
SID,Basic Materials
SLM,Financial Services
SLCA,Basic Materials
HCP,Real Estate
PF,Consumer Defensive
SGU,Energy
ODP,Consumer Cyclical
PK,Real Estate
TLGT,Healthcare
TOL,Consumer Cyclical
PDCO,Healthcare
ITB,
Z,Real Estate
BCO,Industrials
CME,Financial Services
BKD,Healthcare
PPBI,Financial Services
JMEI,Consumer Cyclical
ETFC,Financial Services
AIV,Real Estate
DPS,Consumer Defensive
EXC,Utilities
TAP,Consumer Defensive
MON,Basic Materials
UNP,Industrials
IWD,
BDX,Healthcare
GME,Consumer Cyclical
PEGI,Utilities
MX,Technology
RLJ,Real Estate
LB,Consumer Cyclical
TIF,Consumer Cyclical
DLPH,Consumer Cyclical
USMV,
NCLH,Consumer Cyclical
NOV,Energy
CNDT,Industrials
FNSR,Technology
LMT,Industrials
MTZ,Industrials
TBT,
WEN,Consumer Cyclical
VNQ,
GPS,Consumer Cyclical
SYY,Consumer Defensive
CEF,Financial Services
WDR,Financial Services
FTV,Technology
BKI,Technology
CTSH,Technology
HOLX,Healthcare
EIX,Utilities
URA,
CTXS,Technology
AMTD,Financial Services
CPE,Energy
XME,
CF,Basic Materials
PNC,Financial Services
SABR,Technology
WIT,Technology
LYB,Basic Materials
DISH,Communication Services
NE,Energy
MGA,Consumer Cyclical
AEO,Consumer Cyclical
XHB,
BP,Energy
XEL,Utilities
NTNX,Technology
VVV,Energy
DDR,Real Estate
HQY,Technology
ARCC,Financial Services
UPS,Industrials
MUR,Energy
OMAM,Financial Services
VMC,Basic Materials
SDS,
NOMD,Consumer Defensive
ANTM,Healthcare
PAY,Industrials
SFIX,Consumer Cyclical
CCE,Consumer Defensive
GD,Industrials
KIM,Real Estate
FNF,Financial Services
BXMT,Real Estate
NWS,Consumer Cyclical
CHD,Consumer Defensive
XLY,
DLR,Real Estate
IP,Consumer Cyclical
CLI,Real Estate
SE,Technology
CC,Basic Materials
DAN,Consumer Cyclical
ZBH,Healthcare
NVAX,Healthcare
LPX,Basic Materials
ALDR,Healthcare
BBY,Consumer Cyclical
GRUB,Technology
BG,Consumer Defensive
LC,Financial Services
PWR,Industrials
TNDM,Healthcare
DXCM,Healthcare
NTCT,Technology
RDC,Energy
NYMT,Real Estate
NEM,Basic Materials
BEN,Financial Services
LUK,Industrials
SHLX,Energy
CIVI,Healthcare
NAVI,Financial Services
AET,Healthcare
PBH,Consumer Defensive
SBH,Consumer Cyclical
SEP,Energy
NI,Utilities
LLY,Healthcare
STNG,Industrials
TTWO,Technology
KLAC,Technology
LADR,Real Estate
XRT,
FHN,Financial Services
GOOG,Technology
DVMT,Technology
HSIC,Healthcare
CXO,Energy
HLX,Energy
RSG,Industrials
BIG,Consumer Defensive
CYH,Healthcare
PAYC,Technology
GCP,Basic Materials
YUM,Consumer Cyclical
STZ,Consumer Defensive
EWH,
LBTYK,Communication Services
LYG,Financial Services
MEOH,Basic Materials
GIII,Consumer Cyclical
USFD,Consumer Defensive
SSO,
SFM,Consumer Defensive
SPXL,
THC,Healthcare
DOC,Real Estate
ALLY,Financial Services
QRVO,Technology
TOPS,Industrials
AVP,Consumer Defensive
HEDJ,
EVR,Financial Services
CMS,Utilities
XLB,
DOX,Technology
RIO,Basic Materials
HMHC,Consumer Defensive
NMRK,Real Estate
PDM,Real Estate
KMT,Industrials
SRNE,Healthcare
AMR,Industrials
HP,Energy
FLR,Industrials
BFR,Financial Services
JHG,Financial Services
FDX,Industrials
EMN,Basic Materials
OPK,Healthcare
LNG,Energy
EWZ,
WU,Financial Services
BAX,Healthcare
AOBC,Industrials
CARS,Consumer Cyclical
NUAN,Technology
TEL,Technology
MLM,Basic Materials
GWW,Industrials
PBF,Energy
AGN,Healthcare
GT,Consumer Cyclical
EA,Technology
GPRO,Technology
BW,Technology
CMI,Industrials
CNQ,Energy
HCA,Healthcare
INXN,Technology
VRTX,Healthcare
QTS,Real Estate
SAN,Financial Services
CNHI,Industrials
CNX,Energy
INFO,Technology
YY,Technology
ES,Utilities
DXJ,
FWONK,Consumer Cyclical
ARMK,Consumer Cyclical
OII,Energy
NOW,Technology
ILG,Consumer Cyclical
APTV,Consumer Cyclical
HOMB,Financial Services
QD,Financial Services
NSC,Industrials
NKTR,Healthcare
PSX,Energy
GAB,Financial Services
WIN,Communication Services
CERN,Technology
UPRO,
MCHI,
AKAM,Technology
IEF,
CS,Financial Services
ARRS,Technology
PNW,Utilities
AMH,Real Estate
CDNS,Technology
LABD,
FOE,Basic Materials
A,Healthcare
MDRX,Technology
MOS,Basic Materials
CTB,Consumer Cyclical
LPL,Technology
SKX,Consumer Cyclical
HST,Real Estate
UE,Real Estate
PHM,Consumer Cyclical
MT,Basic Materials
ISBC,Financial Services
KLDX,Basic Materials
CAAP,Industrials
WRE,Real Estate
RRC,Energy
FL,Consumer Cyclical
NTAP,Technology
AGO,Financial Services
DRE,Real Estate
BBBY,Consumer Cyclical
CCJ,Basic Materials
MAR,Consumer Cyclical
AXTA,Basic Materials
VIAV,Technology
SHOO,Consumer Cyclical
CONE,Real Estate
LOGM,Technology
AEM,Basic Materials
BB,Technology
CB,Financial Services
PRU,Financial Services
RUN,Technology
MNK,Healthcare
PVG,Basic Materials
HA,Industrials
INDA,
PBCT,Financial Services
UCBI,Financial Services
LBTYA,Communication Services
AVYA,Industrials
CBSH,Financial Services
SC,Financial Services
ANF,Consumer Cyclical
HIG,Financial Services
ITW,Industrials
AZN,Healthcare
YELP,Technology
MTOR,Consumer Cyclical
ARRY,Healthcare
EVC,Consumer Cyclical
MITL,Technology
SPXS,
IRM,Industrials
TSCO,Consumer Cyclical
EWC,
NWY,Consumer Cyclical
POST,Consumer Defensive
EL,Consumer Defensive
ING,Financial Services
UBS,Financial Services
KRG,Real Estate
VSH,Technology
TER,Technology
EMB,
LHO,Real Estate
SPSB,
TWLO,Technology
TRUE,Technology
RLGY,Real Estate
HPP,Real Estate
CNO,Financial Services
JNPR,Technology
SMH,
URBN,Consumer Cyclical
ROKU,Communication Services
FEDU,Consumer Defensive
ETM,Consumer Cyclical
BANC,Financial Services
INVH,Real Estate
OMF,Financial Services
LW,Consumer Defensive
CTRE,Real Estate
NHI,Real Estate
CBL,Real Estate
FE,Utilities
NOC,Industrials
ASH,Basic Materials
MCHP,Technology
KLIC,Technology
O,Real Estate
TAHO,Basic Materials
XLV,
FET,Energy
TPH,Consumer Cyclical
AMX,Communication Services
FLO,Consumer Defensive
SPN,Energy
SHO,Real Estate
TEAM,Technology
COF,Financial Services
PFPT,Technology
EWL,
FLT,Industrials
PLUG,Technology
HIMX,Technology
IGT,Consumer Cyclical
IBB,
FANG,Energy
XLRE,
HRG,Industrials
TROW,Financial Services
SN,Energy
ARLP,Basic Materials
RXN,Industrials
OSK,Industrials
DHR,Healthcare
EVHC,Healthcare
BLMN,Consumer Cyclical
UPL,Energy
ORBK,Technology
BNDX,
AMN,Industrials
PPC,Consumer Defensive
GNTX,Consumer Cyclical
RCL,Consumer Cyclical
INTU,Technology
W,Consumer Cyclical
PCAR,Industrials
IR,Industrials
PEG,Utilities
FBP,Financial Services
WEC,Utilities
MDC,Consumer Cyclical
TISI,Industrials
YUMC,Consumer Cyclical
HMSY,Industrials
IMMU,Healthcare
ALV,Consumer Cyclical
IWF,
BHP,Basic Materials
BXP,Real Estate
BYD,Consumer Cyclical
WGO,Consumer Cyclical
KSU,Industrials
PUMP,Energy
XLNX,Technology
NOG,Energy
GLOG,Industrials
FOLD,Healthcare
JBHT,Industrials
AGG,
FBHS,Consumer Cyclical
TXT,Industrials
EXPD,Industrials
PDLI,Healthcare
SHPG,Healthcare
EXPE,Consumer Cyclical
TVPT,Consumer Cyclical
WERN,Industrials
AGI,Basic Materials
ED,Utilities
HCSG,Industrials
DVAX,Healthcare
DLTR,Consumer Defensive
GNC,Consumer Defensive
VIXY,
OUT,Consumer Cyclical
MTSI,Technology
DBD,Technology
CBT,Basic Materials
STOR,Real Estate
VEU,
FBR,Basic Materials
BGCP,Financial Services
VCIT,
ABB,Technology
GTE,Energy
SWKS,Technology
CP,Industrials
PNR,Industrials
PKI,Healthcare
IIVI,Technology
CROX,Consumer Cyclical
ASB,Financial Services
UHS,Healthcare
ENB,Energy
TDC,Technology
AG,Basic Materials
ACHC,Healthcare
NAT,Industrials
MLHR,Industrials
SPG,Real Estate
EWA,
ENLK,Energy
QRTEA,Consumer Cyclical
TRIP,Consumer Cyclical
TRP,Energy
FAST,Industrials
RH,Consumer Cyclical
IVV,
CBRE,Real Estate
HGV,Consumer Cyclical
AEG,Financial Services
BTI,Consumer Defensive
VIAB,Consumer Cyclical
EWP,
NVS,Healthcare
EWBC,Financial Services
QSR,Consumer Cyclical
NXTM,Healthcare
GSAT,Communication Services
DBEU,
TTPH,Healthcare
VRAY,Healthcare
SGH,Technology
ALNY,Healthcare
SCHB,
BMRN,Healthcare
CA,Technology
CASA,Technology
CXP,Real Estate
SCZ,
AGNC,Real Estate
DF,Consumer Defensive
HRTX,Healthcare
LDOS,Technology
VSLR,Technology
MPW,Real Estate
TXMD,Healthcare
CIM,Real Estate
ECYT,Healthcare
QCP,Real Estate
NYLD,Utilities
INSM,Healthcare
ETH,Consumer Cyclical
KS,Basic Materials
NG,Basic Materials
BGFV,Consumer Cyclical
AEE,Utilities
HCC,Basic Materials
LAMR,Real Estate
FIT,Technology
EXEL,Healthcare
HZNP,Healthcare
ADI,Technology
FLOT,
AKBA,Healthcare
LPNT,Healthcare
OLED,Technology
EYE,Consumer Cyclical
CBS,Consumer Cyclical
MBT,Communication Services
TMO,Healthcare
LBRDA,Communication Services
HCLP,Basic Materials
OFC,Real Estate
STT,Financial Services
HLF,Consumer Defensive
WRK,Consumer Cyclical
GREK,
BR,Industrials
ORIG,Energy
MCD,Consumer Cyclical
PRO,Technology
SSNC,Technology
TWO,Real Estate
CHTR,Communication Services
AXL,Consumer Cyclical
ACAD,Healthcare
VLY,Financial Services
VOD,Communication Services
EXTR,Technology
BTE,Energy
FEYE,Technology
HYH,Healthcare
SUN,Energy
VECO,Technology
ZEN,Technology
ATEN,Technology
CRC,Energy
WPZ,Energy
ATUS,Communication Services
SIG,Consumer Cyclical
BDC,Technology
ERIC,Technology
XPO,Industrials
APO,Financial Services
FMSA,Energy
BSTI,Technology
CRI,Consumer Cyclical
MANH,Technology
AGCO,Industrials
TILE,Consumer Cyclical
MMC,Financial Services
GNW,Financial Services
CAKE,Consumer Cyclical
CAR,Industrials
TMHC,Consumer Cyclical
URI,Industrials
SPLK,Technology
VRSN,Technology
MCO,Industrials
SLG,Real Estate
XOG,Energy
STO,Energy
PEIX,Energy
BZUN,Consumer Cyclical
PAGS,Technology
L,Financial Services
NWSA,Consumer Cyclical
MBI,Financial Services
ARNA,Healthcare
VNO,Real Estate
PDS,Energy
BCC,Basic Materials
TCP,Energy
ULTA,Consumer Cyclical
PRTY,Consumer Cyclical
JACK,Consumer Cyclical
OGE,Utilities
QGEN,Healthcare
CPRT,Consumer Cyclical
EAT,Consumer Cyclical
DXC,Technology
UEC,Basic Materials
CLVS,Healthcare
UDR,Real Estate
KBR,Industrials
PGEM,Basic Materials
STM,Technology
AQUA,Industrials
SBRA,Real Estate
EQT,Energy
FISV,Industrials
SPIB,
IDTI,Technology
SRE,Utilities
DIA,
SAVE,Industrials
DXLG,Consumer Cyclical
RHT,Technology
HTA,Real Estate
NPTN,Technology
HMNY,Technology
NSM,Financial Services
ARQL,Healthcare
SQM,Basic Materials
SXT,Basic Materials
KND,Healthcare
OMC,Consumer Cyclical
CVA,Industrials
LXP,Real Estate
ONB,Financial Services
FMC,Basic Materials
KN,Technology
KW,Real Estate
SCS,Industrials
CXW,Industrials
CBI,Industrials
GXP,Utilities
CGI,Industrials
DFS,Financial Services
VTV,
PH,Industrials
USA,Financial Services
CIEN,Technology
OIS,Energy
SEMG,Energy
SCCO,Basic Materials
VT,
HDS,Industrials
YEXT,Technology
ATU,Industrials
NGHC,Financial Services
ATSG,Industrials
REVG,Consumer Cyclical
ALLE,Industrials
CCT,Financial Services
MHK,Consumer Cyclical
SPWH,Consumer Cyclical
TWNK,Consumer Defensive
BMCH,Basic Materials
EQIX,Technology
GRA,Basic Materials
VNTR,Basic Materials
SUM,Basic Materials
MSCC,Technology
RDFN,Real Estate
ERJ,Industrials
UNM,Financial Services
MTU,Financial Services
NJR,Utilities
ORBC,Communication Services
NNN,Real Estate
PAGP,Energy
TNA,
LIVN,Healthcare
AMAG,Healthcare
CTAS,Consumer Cyclical
REGI,Energy
VRNT,Technology
HAS,Consumer Cyclical
AOS,Industrials
DGX,Healthcare
CUZ,Real Estate
HALO,Healthcare
SGMO,Healthcare
KTOS,Industrials
FIS,Technology
EEP,Energy
SCHX,
TRN,Industrials
SPGI,Industrials
BHF,Financial Services
RYAAY,Industrials
AN,Consumer Cyclical
WDAY,Technology
ABR,Real Estate
MCK,Healthcare
VC,Consumer Cyclical
ROIC,Real Estate
HTZ,Industrials
ACXM,Technology
MUX,Basic Materials
IEX,Industrials
MXIM,Technology
ASHR,
XCRA,Technology
IJH,
GSVC,Financial Services
INN,Real Estate
ITOT,
FAZ,
SH,
EPE,Energy
TROX,Basic Materials
OEC,Basic Materials
ATH,Financial Services
CSOD,Technology
ABC,Healthcare
EFX,Industrials
DPZ,Consumer Cyclical
ENLC,Energy
TTM,Consumer Cyclical
OHI,Real Estate
VOO,
SUI,Real Estate
SIVB,Financial Services
MPLX,Energy
EC,Energy
FIVE,Consumer Cyclical
LPLA,Financial Services
SEIC,Financial Services
LQ,Consumer Cyclical
SIX,Consumer Cyclical
PX,Basic Materials
VEEV,Technology
DO,Energy
FORM,Technology
FRAC,Energy
BRKS,Technology
VIG,
NVO,Healthcare
SWK,Industrials
SNDR,Industrials
MZOR,Healthcare
SBGL,Basic Materials
VNDA,Healthcare
ANH,Real Estate
HTHT,Consumer Cyclical
EW,Healthcare
SKT,Real Estate
ROK,Industrials
PENN,Consumer Cyclical
AMRN,Healthcare
ALL,Financial Services
IONS,Healthcare
APRN,Consumer Cyclical
NEOS,Healthcare
KRNY,Financial Services
SBAC,Communication Services
MFC,Financial Services
FSIC,Financial Services
ZTS,Healthcare
BUD,Consumer Defensive
UA,Consumer Cyclical
AROC,Energy
THO,Consumer Cyclical
BGNE,Healthcare
WB,Technology
KT,Communication Services
BOTZ,
TGNA,Consumer Cyclical
CHGG,Consumer Defensive
HYD,
WM,Industrials
ASX,Technology
BDSI,Healthcare
THRM,Consumer Cyclical
UMPQ,Financial Services
ALB,Basic Materials
RHI,Industrials
AKRX,Healthcare
HLT,Consumer Cyclical
DNOW,Energy
PIR,Consumer Cyclical
WPG,Real Estate
PNFP,Financial Services
DRH,Real Estate
OC,Basic Materials
CUBE,Real Estate
GLPI,Real Estate
CBOE,Financial Services
RDNT,Healthcare
AGRO,Consumer Defensive
AL,Industrials
PHH,Financial Services
GNRT,Industrials
AMJ,
EVH,Technology
UIS,Technology
NCS,Industrials
JELD,Basic Materials
TDG,Industrials
LITE,Technology
STAY,Consumer Cyclical
TCF,Financial Services
RY,Financial Services
ROST,Consumer Cyclical
SYK,Healthcare
REI,Energy
HR,Real Estate
TRV,Financial Services
CSL,Consumer Cyclical
GWRE,Technology
SIR,Real Estate
ANET,Technology
BMS,Consumer Cyclical
SFLY,Technology
PCRX,Healthcare
CSIQ,Technology
ICHR,Technology
CAVM,Technology
WSM,Consumer Cyclical
EXP,Basic Materials
BWA,Consumer Cyclical
SWCH,Technology
APLE,Real Estate
ADS,Financial Services
DRQ,Energy
AXS,Financial Services
JNUG,
MTDR,Energy
CARB,Technology
CAJ,Industrials
CNI,Industrials
TLND,Technology
ILMN,Healthcare
ISRG,Healthcare
CAL,Consumer Cyclical
SPAR,Industrials
SAP,Technology
ESNT,Financial Services
NMFC,Industrials
BLDP,Industrials
OI,Consumer Cyclical
DSW,Consumer Cyclical
MDU,Basic Materials
ELLI,Technology
PSXP,Energy
EPI,
CREE,Technology
CWH,Consumer Cyclical
DECK,Consumer Cyclical
COHR,Technology
ACWI,
SMFG,Financial Services
FULT,Financial Services
UNIT,Real Estate
LAZ,Financial Services
CASY,Consumer Defensive
TEGP,Energy
PODD,Healthcare
NEXA,Basic Materials
HRS,Technology
QSII,Technology
UCO,
MATW,Consumer Cyclical
PLNT,Consumer Cyclical
CAH,Healthcare
AYI,Technology
DVA,Healthcare
CHUBK,Technology
AMPE,Healthcare
REGN,Healthcare
MELI,Consumer Cyclical
SGMS,Consumer Cyclical
WCN,Industrials
IMMR,Technology
VKTX,Healthcare
MYOV,Healthcare
ABM,Industrials
NGL,Energy
ARCO,Consumer Cyclical
HEWJ,
BABY,Healthcare
TYME,Industrials
UNG,
GST,Energy
VR,Financial Services
MGPI,Consumer Defensive
NTES,Technology
LTRPA,Technology
LNC,Financial Services
NGG,Utilities
TQQQ,
SND,Basic Materials
SCHF,
GTES,Industrials
CMA,Financial Services
ALK,Industrials
CHL,Communication Services
PFG,Financial Services
IRET,Real Estate
HUM,Healthcare
TEX,Industrials
STFC,Financial Services
SAND,Basic Materials
JWN,Consumer Cyclical
HDSN,Industrials
HFC,Energy
PQG,Basic Materials
MBFI,Financial Services
EDU,Consumer Defensive
ESRT,Real Estate
SCHD,
LBRT,Energy
HDP,Technology
PEB,Real Estate
TSN,Consumer Defensive
HSBC,Financial Services
OMI,Healthcare
PTC,Technology
CDW,Technology
EWI,
SBGI,Consumer Cyclical
RSP,
MMP,Energy
PLAY,Consumer Cyclical
EGOV,Technology
HDB,Financial Services
TSE,Consumer Cyclical
WAL,Financial Services
SBS,Utilities
ARE,Real Estate
EMLC,
EXAS,Healthcare
TRGP,Energy
LYV,Consumer Cyclical
MFA,Real Estate
ECL,Basic Materials
RESN,Technology
ELY,Consumer Cyclical
ARES,Financial Services
DDD,Technology
LPT,Real Estate
MKC,Consumer Defensive
WAFD,Financial Services
BSBR,Financial Services
CQP,Energy
PETQ,Healthcare
RMD,Healthcare
GPT,Real Estate
IRDM,Communication Services
BKU,Financial Services
H,Consumer Cyclical
MDXG,Healthcare
EXPR,Consumer Cyclical
AVB,Real Estate
FII,Financial Services
INCY,Healthcare
LBRDK,Communication Services
NVCN,Healthcare
TRMB,Technology
CVEO,Industrials
TDOC,Technology
TRU,Industrials
SOGO,Technology
APTI,Technology
XYL,Industrials
MOAT,
GPOR,Energy
ANDX,Energy
ACGL,Financial Services
SFUN,Technology
SBNY,Financial Services
GRFS,Healthcare
DY,Industrials
MGP,Real Estate
SNE,Technology
MAA,Real Estate
AEL,Financial Services
CVG,Industrials
GOGO,Communication Services
TSU,Communication Services
DBC,
WES,Energy
QUAD,Industrials
RYN,Basic Materials
SYNA,Technology
VSTO,Consumer Cyclical
BHVN,Healthcare
WYN,Consumer Cyclical
PPG,Basic Materials
WAIR,Industrials
ORI,Financial Services
SONC,Consumer Cyclical
TPC,Industrials
XHR,Real Estate
WMGI,Healthcare
